Tree \ Buffer radius (m)	2.5	5.0	7.5	10.0	12.5	15.0	17.5	20.0	22.5	25.0	27.5	30.0	32.5	35.0	37.5	40.0	42.5	45.0	47.5	50.0
E_76_I	13.25	72.16	164.41	285.46	445.88	651.93	884.25	1157.22	1441.8	1789.82	2172.21	2580.61	2996.99	3464.64	3988.08	4557.9	5147.14	5766.36	6459.72	7183.76
E_76_G	0.0	40.05	129.82	252.68	423.96	622.26	854.24	1133.43	1430.24	1769.68	2145.75	2541.27	3019.76	3528.04	4060.74	4636.84	5239.16	5866.82	6562.55	7260.76
E_76_E	1.53	57.81	133.7	235.94	394.26	595.16	835.03	1116.93	1423.46	1762.13	2148.4	2559.77	3037.09	3548.58	4096.94	4697.28	5309.26	5974.94	6673.87	7351.14
E_76_C	0.0	56.51	141.29	257.4	427.11	626.37	844.66	1107.84	1414.12	1778.03	2180.44	2594.7	3068.44	3575.52	4124.06	4727.86	5371.68	6046.53	6751.84	7464.2
E_76_A	7.68	63.1	148.88	281.38	452.93	645.4	886.14	1164.35	1453.94	1792.27	2184.69	2623.92	3096.08	3598.69	4152.59	4755.49	5384.76	6061.16	6781.36	7517.95
E_75_T	11.84	70.74	158.02	272.4	433.68	634.18	872.67	1159.11	1488.95	1856.89	2260.59	2686.04	3170.21	3693.97	4249.78	4847.2	5455.0	6078.19	6761.08	7475.26
E_74_S	0.0	47.86	145.47	275.96	452.4	649.88	882.82	1169.75	1488.11	1852.91	2259.85	2695.41	3172.06	3690.39	4248.63	4849.42	5477.08	6136.17	6827.69	7529.8
E_74_A	6.75	65.65	158.14	287.29	451.3	634.19	867.7	1153.32	1457.47	1814.47	2211.25	2636.68	3107.21	3620.6	4154.05	4752.02	5389.11	6049.94	6760.03	7482.64
E_73_B	5.78	64.08	144.63	257.5	424.69	623.58	877.18	1164.0	1475.85	1827.73	2212.18	2613.09	3077.65	3594.61	4137.45	4740.07	5371.29	6029.82	6718.59	7417.55
E_73_D	0.0	42.22	132.38	251.89	425.25	628.13	872.3	1157.1	1453.61	1790.22	2166.16	2586.23	3054.15	3567.86	4125.64	4719.21	5343.53	5974.27	6642.82	7319.61
E_73_H	14.72	73.63	170.77	300.56	476.68	675.24	910.38	1185.48	1487.33	1821.66	2210.93	2630.36	3087.58	3578.56	4084.84	4662.72	5243.3	5811.41	6443.27	7130.22
E_73_J	10.55	69.46	167.5	300.17	476.88	686.85	941.51	1234.99	1547.5	1883.74	2260.85	2679.3	3142.09	3617.4	4089.21	4616.98	5164.72	5746.08	6407.71	7113.71
E_72_S	10.55	69.46	166.47	301.1	474.69	676.45	918.68	1212.9	1542.94	1900.24	2307.72	2731.76	3205.74	3721.31	4262.46	4849.31	5480.57	6135.77	6815.27	7528.79
E_72_M	13.02	71.93	170.1	307.55	484.0	692.46	946.42	1240.95	1567.2	1927.61	2323.42	2750.02	3204.9	3675.41	4147.14	4649.75	5200.32	5776.58	6442.04	7125.03
